date,user_id,age,mood,anxiety,energy,burnout,journal_entry,sleep,refreshed_after_sleep,steps_taken,water_intake,caffeine_intake,work_hours,outfit_type,music_genre,music_volume,music_time,on_period_today,cycle_phase,symptoms_experienced,major_event_log
2025-05-12,user_025,59,1,9,6,Full-on burnout,A bit tired.,10.3,Yes,<2000,1.5–2.5L,3+ cups,<2 hrs,Athletic/Activewear,"Sad Pop, K-pop / J-pop",Low (background),Night,No,Follicular,None,Felt sick
2025-05-13,user_025,59,3,3,1,Full-on burnout,,5.4,Kind of,2000–5000,<1L,2 cups,2–5 hrs,Athletic/Activewear,None,Loud,Night,No,Follicular,None,
2025-05-14,user_025,59,2,10,5,Not at all,,8.9,No,<2000,1.5–2.5L,2 cups,5–8 hrs,"Comfy (PJs, oversized)",None,Low (background),Afternoon,Not sure,Follicular,None,Attended a social event
2025-05-15,user_025,59,4,7,5,Drained,,9.0,No,5000–8000,2.5L+,None,8+ hrs,"Comfy (PJs, oversized)",Rock,Loud,Afternoon,No,Ovulation,None,
2025-05-16,user_025,59,10,1,4,Drained,,9.5,No,2000–5000,1–1.5L,3+ cups,<2 hrs,"Comfy (PJs, oversized)","Rock, Dance music",Loud,Morning,No,No clue,None,
2025-05-17,user_025,59,8,5,2,Mild tiredness,,3.7,Yes,2000–5000,1.5–2.5L,2 cups,2–5 hrs,Formal (workwear),None,Low (background),Morning,No,Luteal,None,
2025-05-18,user_025,59,2,10,9,Full-on burnout,Relaxed evening.,8.3,Yes,<2000,1.5–2.5L,3+ cups,<2 hrs,"Casual (jeans, tee)","Rock, Happy Vibey pop",Loud,Afternoon,No,Luteal,None,
2025-05-19,user_025,59,6,2,5,Mild tiredness,,3.9,Yes,<2000,1–1.5L,3+ cups,<2 hrs,Athletic/Activewear,Other,Low (background),Afternoon,No,Luteal,None,
2025-05-20,user_025,59,3,5,2,Full-on burnout,,3.4,Kind of,8000+,1–1.5L,3+ cups,2–5 hrs,"Casual (jeans, tee)",EDM,Low (background),Night,No,Luteal,Low energy,
2025-05-21,user_025,59,4,2,1,Full-on burnout,,7.7,Kind of,5000–8000,1.5–2.5L,None,<2 hrs,Athletic/Activewear,Lofi,Loud,Morning,No,Luteal,Low energy,
2025-05-22,user_025,59,7,5,6,Not at all,,0.8,Kind of,<2000,1.5–2.5L,3+ cups,8+ hrs,"Comfy (PJs, oversized)","Bollywood, Sad Pop",Low (background),Afternoon,No,Luteal,None,
2025-05-23,user_025,59,9,8,9,Mild tiredness,,0.8,Kind of,8000+,<1L,None,5–8 hrs,Athletic/Activewear,None,Low (background),Morning,No,Luteal,None,
2025-05-24,user_025,59,3,8,3,Drained,Feeling well today.,6.7,Kind of,<2000,2.5L+,1 cup,<2 hrs,Formal (workwear),None,Low (background),Morning,No,Luteal,None,
2025-05-25,user_025,59,3,2,3,Full-on burnout,,8.6,Yes,2000–5000,<1L,2 cups,5–8 hrs,"Casual (jeans, tee)",None,Loud,Morning,No,Luteal,Food craving,
2025-05-26,user_025,59,2,2,10,Mild tiredness,,7.6,Yes,<2000,1.5–2.5L,3+ cups,<2 hrs,"Casual (jeans, tee)","Dance music, K-pop / J-pop",Loud,Night,No,Luteal,Low energy,
2025-05-27,user_025,59,9,3,1,Mild tiredness,,8.8,Yes,8000+,1–1.5L,2 cups,2–5 hrs,Formal (workwear),None,Low (background),Morning,Yes,Menstrual,"Cramps, Food craving",Started new hobby
2025-05-28,user_025,59,9,6,3,Not at all,Productive day at work.,9.6,Kind of,5000–8000,1–1.5L,1 cup,2–5 hrs,Athletic/Activewear,None,Loud,Afternoon,Yes,Menstrual,Low energy,
2025-05-29,user_025,59,9,3,8,Drained,,8.5,Yes,5000–8000,1–1.5L,2 cups,5–8 hrs,"Comfy (PJs, oversized)","Lofi, Happy Vibey pop",Loud,Morning,Yes,Menstrual,Cramps,
2025-05-30,user_025,59,8,8,1,Mild tiredness,Productive day at work.,2.9,No,8000+,2.5L+,None,5–8 hrs,"Comfy (PJs, oversized)","Happy Vibey pop, Carnatic",Loud,Night,Yes,Menstrual,"Cramps, Food craving",
2025-05-31,user_025,59,1,3,4,Mild tiredness,,10.4,Yes,<2000,<1L,3+ cups,<2 hrs,"Casual (jeans, tee)",None,Medium,Afternoon,Yes,Menstrual,"Low energy, Food craving",
2025-06-01,user_025,59,1,3,10,Not at all,,9.4,Yes,5000–8000,1.5–2.5L,3+ cups,8+ hrs,Formal (workwear),None,Loud,Morning,Yes,Follicular,None,
2025-06-02,user_025,59,6,8,4,Full-on burnout,,1.1,No,<2000,2.5L+,2 cups,<2 hrs,Athletic/Activewear,Other,Loud,Night,Yes,Follicular,None,Felt sick
2025-06-03,user_025,59,10,1,9,Drained,,8.0,No,5000–8000,1.5–2.5L,2 cups,8+ hrs,"Casual (jeans, tee)",Rock,Loud,Night,No,Follicular,None,
2025-06-04,user_025,59,6,3,6,Drained,A bit tired.,10.2,Kind of,5000–8000,<1L,3+ cups,5–8 hrs,"Casual (jeans, tee)",K-pop / J-pop,Loud,Afternoon,No,Follicular,None,Travelled for work
2025-06-05,user_025,59,5,2,8,Not at all,,2.4,Yes,8000+,1–1.5L,None,5–8 hrs,Formal (workwear),Carnatic,Medium,Night,No,Follicular,None,
2025-06-06,user_025,59,3,9,1,Drained,,2.7,Kind of,8000+,2.5L+,None,<2 hrs,"Comfy (PJs, oversized)",None,Low (background),Night,No,Follicular,None,
2025-06-07,user_025,59,6,5,1,Not at all,,7.7,Kind of,<2000,1.5–2.5L,None,2–5 hrs,Formal (workwear),"Carnatic, K-pop / J-pop",Medium,Morning,No,Follicular,None,
2025-06-08,user_025,59,3,10,3,Drained,,9.5,Kind of,5000–8000,1–1.5L,3+ cups,5–8 hrs,"Comfy (PJs, oversized)","Western classical, Lofi",Loud,Morning,No,Follicular,None,
2025-06-09,user_025,59,2,2,4,Drained,,1.3,No,8000+,1.5–2.5L,None,<2 hrs,Formal (workwear),"Dance music, Sad Pop",Low (background),Night,No,No clue,None,
2025-06-10,user_025,59,4,4,8,Mild tiredness,Productive day at work.,3.4,Yes,<2000,<1L,1 cup,8+ hrs,"Casual (jeans, tee)",None,Loud,Night,No,Ovulation,None,Started new hobby
2025-06-11,user_025,59,9,10,7,Not at all,A bit tired.,10.0,No,2000–5000,2.5L+,None,5–8 hrs,"Casual (jeans, tee)","Lofi, Western classical",Loud,Morning,No,Ovulation,None,
2025-06-12,user_025,59,8,6,3,Mild tiredness,,1.7,No,<2000,1–1.5L,3+ cups,<2 hrs,"Comfy (PJs, oversized)","Dance music, Carnatic",Loud,Afternoon,No,Luteal,None,
2025-06-13,user_025,59,3,10,5,Not at all,,3.7,Yes,5000–8000,2.5L+,1 cup,<2 hrs,"Comfy (PJs, oversized)",Sad Pop,Low (background),Night,No,Luteal,None,
2025-03-16,user_026,49,10,9,1,Full-on burnout,,0.7,No,<2000,<1L,2 cups,2–5 hrs,"Casual (jeans, tee)","Other, Carnatic",Loud,Afternoon,No,No clue,None,
2025-03-17,user_026,49,5,5,5,Full-on burnout,A bit tired.,8.2,Kind of,8000+,2.5L+,1 cup,2–5 hrs,"Casual (jeans, tee)","Carnatic, Sad Pop",Low (background),Night,No,No clue,None,
2025-03-18,user_026,49,1,3,7,Drained,,1.9,Yes,5000–8000,<1L,2 cups,8+ hrs,"Casual (jeans, tee)",Sad Pop,Low (background),Afternoon,No,No clue,None,
2025-03-19,user_026,49,4,8,3,Mild tiredness,,2.7,Yes,5000–8000,<1L,None,8+ hrs,"Casual (jeans, tee)",None,Loud,Morning,No,No clue,None,
2025-03-20,user_026,49,1,4,3,Drained,,6.5,Yes,<2000,<1L,None,5–8 hrs,"Casual (jeans, tee)",Sad Pop,Medium,Afternoon,No,No clue,None,
2025-03-21,user_026,49,5,5,5,Full-on burnout,,6.3,Kind of,8000+,<1L,None,5–8 hrs,Athletic/Activewear,None,Medium,Night,No,No clue,None,
2025-03-22,user_026,49,8,6,7,Full-on burnout,,1.1,No,5000–8000,<1L,None,2–5 hrs,Athletic/Activewear,"Sad Pop, Other",Loud,Morning,No,No clue,None,
2025-03-23,user_026,49,9,1,1,Drained,,3.3,No,8000+,1.5–2.5L,2 cups,<2 hrs,Formal (workwear),Dance music,Low (background),Afternoon,No,No clue,None,
2025-03-24,user_026,49,5,7,2,Mild tiredness,,6.1,Kind of,8000+,1–1.5L,1 cup,8+ hrs,"Comfy (PJs, oversized)",None,Loud,Morning,No,No clue,None,
2025-03-25,user_026,49,9,3,8,Mild tiredness,,8.0,Yes,5000–8000,2.5L+,3+ cups,<2 hrs,"Casual (jeans, tee)",Bollywood,Low (background),Night,No,No clue,None,Felt sick
2025-03-26,user_026,49,4,4,5,Drained,,0.8,Yes,8000+,1–1.5L,3+ cups,8+ hrs,"Casual (jeans, tee)","EDM, Happy Vibey pop",Loud,Night,No,No clue,None,
2025-03-27,user_026,49,1,3,6,Drained,,3.8,No,2000–5000,2.5L+,3+ cups,8+ hrs,"Comfy (PJs, oversized)",None,Loud,Morning,No,No clue,None,
2025-03-28,user_026,49,8,4,4,Full-on burnout,,5.3,Yes,5000–8000,2.5L+,3+ cups,8+ hrs,Formal (workwear),None,Loud,Night,No,No clue,None,
2025-03-29,user_026,49,2,10,4,Mild tiredness,Feeling well today.,6.8,Kind of,8000+,2.5L+,2 cups,2–5 hrs,"Comfy (PJs, oversized)","Dance music, Lofi",Loud,Afternoon,No,No clue,None,
2025-03-30,user_026,49,9,10,10,Drained,,0.8,Kind of,5000–8000,<1L,2 cups,8+ hrs,Formal (workwear),Western classical,Loud,Morning,No,No clue,None,
2025-03-31,user_026,49,3,7,4,Not at all,Relaxed evening.,5.2,Kind of,5000–8000,1–1.5L,3+ cups,5–8 hrs,"Casual (jeans, tee)",Western classical,Medium,Morning,No,No clue,None,
2025-04-01,user_026,49,2,3,3,Full-on burnout,A bit tired.,1.4,Kind of,5000–8000,1.5–2.5L,3+ cups,5–8 hrs,Formal (workwear),"Sad Pop, Rock",Low (background),Night,No,No clue,None,
2025-04-02,user_026,49,8,3,1,Not at all,,7.5,No,8000+,1–1.5L,1 cup,<2 hrs,"Comfy (PJs, oversized)","Bollywood, Rock",Low (background),Morning,No,No clue,None,
2025-04-03,user_026,49,3,4,8,Mild tiredness,,2.9,Kind of,<2000,2.5L+,1 cup,5–8 hrs,"Casual (jeans, tee)",None,Medium,Afternoon,No,No clue,None,
2025-04-04,user_026,49,3,2,2,Full-on burnout,A bit tired.,5.2,Yes,5000–8000,1.5–2.5L,1 cup,2–5 hrs,"Comfy (PJs, oversized)",None,Loud,Morning,No,No clue,None,
2025-04-05,user_026,49,9,10,7,Not at all,,10.4,Yes,<2000,2.5L+,None,2–5 hrs,Formal (workwear),None,Medium,Afternoon,No,No clue,None,
2025-04-06,user_026,49,7,1,5,Mild tiredness,Productive day at work.,8.2,Yes,5000–8000,2.5L+,3+ cups,8+ hrs,"Casual (jeans, tee)","Happy Vibey pop, Lofi",Medium,Morning,No,No clue,None,
2025-04-07,user_026,49,8,1,5,Mild tiredness,,11.6,Kind of,5000–8000,<1L,2 cups,5–8 hrs,Athletic/Activewear,EDM,Medium,Morning,No,No clue,None,
2025-04-08,user_026,49,6,8,10,Not at all,,10.2,Yes,8000+,1–1.5L,2 cups,8+ hrs,Formal (workwear),"Lofi, Dance music",Medium,Afternoon,No,No clue,None,
2025-04-09,user_026,49,8,10,5,Drained,,4.0,Yes,2000–5000,1–1.5L,3+ cups,2–5 hrs,"Casual (jeans, tee)",None,Medium,Afternoon,No,No clue,None,
2025-04-10,user_026,49,1,5,3,Not at all,Feeling well today.,5.7,No,<2000,<1L,None,<2 hrs,"Casual (jeans, tee)",None,Loud,Afternoon,No,No clue,None,
2025-04-11,user_026,49,7,2,7,Mild tiredness,,10.5,No,2000–5000,2.5L+,None,<2 hrs,Athletic/Activewear,"Rock, K-pop / J-pop",Low (background),Night,No,No clue,None,
2025-04-12,user_026,49,2,4,8,Mild tiredness,Productive day at work.,9.6,No,2000–5000,<1L,2 cups,8+ hrs,"Comfy (PJs, oversized)","Carnatic, Bollywood",Low (background),Morning,No,No clue,None,
2025-04-13,user_026,49,2,2,1,Drained,,9.8,Kind of,2000–5000,1.5–2.5L,3+ cups,5–8 hrs,"Casual (jeans, tee)",None,Loud,Morning,No,No clue,None,
2025-04-14,user_026,49,7,3,9,Mild tiredness,,10.8,Yes,5000–8000,2.5L+,2 cups,5–8 hrs,Athletic/Activewear,None,Medium,Afternoon,No,No clue,None,
2025-04-15,user_026,49,1,3,3,Drained,,4.9,Yes,2000–5000,2.5L+,3+ cups,5–8 hrs,"Comfy (PJs, oversized)",None,Medium,Night,No,No clue,None,
2025-04-16,user_026,49,5,4,4,Mild tiredness,Productive day at work.,2.3,Kind of,<2000,1–1.5L,None,5–8 hrs,Formal (workwear),Bollywood,Loud,Morning,No,No clue,None,Started new hobby
2025-04-17,user_026,49,2,8,5,Not at all,,11.3,No,<2000,1.5–2.5L,1 cup,5–8 hrs,"Comfy (PJs, oversized)",K-pop / J-pop,Low (background),Morning,No,No clue,None,
2025-04-18,user_026,49,7,2,2,Full-on burnout,,8.2,Yes,5000–8000,<1L,1 cup,5–8 hrs,"Comfy (PJs, oversized)","Sad Pop, Lofi",Loud,Afternoon,No,No clue,None,
2025-04-19,user_026,49,5,2,1,Full-on burnout,,2.7,Kind of,<2000,<1L,2 cups,5–8 hrs,Formal (workwear),Sad Pop,Loud,Morning,No,No clue,None,
2025-04-20,user_026,49,3,5,2,Not at all,,2.4,Yes,5000–8000,1.5–2.5L,2 cups,5–8 hrs,"Casual (jeans, tee)",Lofi,Low (background),Night,No,No clue,None,
2025-04-21,user_026,49,5,3,3,Full-on burnout,Feeling well today.,2.7,Yes,2000–5000,2.5L+,1 cup,<2 hrs,"Comfy (PJs, oversized)","Rock, Lofi",Loud,Morning,No,No clue,None,
2025-04-22,user_026,49,4,4,1,Mild tiredness,Feeling well today.,2.6,No,5000–8000,1.5–2.5L,2 cups,<2 hrs,Formal (workwear),Other,Low (background),Night,No,No clue,None,
2025-04-23,user_026,49,9,5,9,Mild tiredness,,0.9,Kind of,<2000,<1L,3+ cups,<2 hrs,Athletic/Activewear,None,Low (background),Afternoon,No,No clue,None,
2025-04-24,user_026,49,7,5,8,Drained,Relaxed evening.,5.6,No,5000–8000,1.5–2.5L,None,2–5 hrs,Formal (workwear),Dance music,Low (background),Afternoon,No,No clue,None,
2025-04-25,user_026,49,5,1,3,Drained,,11.0,Kind of,8000+,1.5–2.5L,3+ cups,<2 hrs,Athletic/Activewear,None,Medium,Night,No,No clue,None,Felt sick
2025-04-26,user_026,49,4,3,7,Drained,,1.1,Kind of,5000–8000,1.5–2.5L,1 cup,2–5 hrs,Athletic/Activewear,None,Medium,Morning,No,No clue,None,
2025-04-27,user_026,49,6,6,8,Not at all,,4.2,Kind of,8000+,2.5L+,2 cups,<2 hrs,"Casual (jeans, tee)",Bollywood,Loud,Morning,No,No clue,None,
2025-04-28,user_026,49,10,1,1,Not at all,,0.3,Kind of,8000+,<1L,2 cups,2–5 hrs,"Comfy (PJs, oversized)",None,Low (background),Afternoon,No,No clue,None,
2025-04-29,user_026,49,6,8,4,Full-on burnout,Relaxed evening.,4.1,Kind of,5000–8000,<1L,None,5–8 hrs,"Comfy (PJs, oversized)",Carnatic,Medium,Morning,No,No clue,None,
2025-04-30,user_026,49,3,10,10,Mild tiredness,,8.1,No,2000–5000,2.5L+,1 cup,<2 hrs,Athletic/Activewear,"Western classical, Happy Vibey pop",Low (background),Afternoon,No,No clue,None,Attended a social event
2025-05-01,user_026,49,4,2,9,Not at all,,10.0,No,8000+,<1L,None,5–8 hrs,Athletic/Activewear,Rock,Loud,Afternoon,No,No clue,None,
2025-05-02,user_026,49,6,3,2,Full-on burnout,A bit tired.,10.6,Kind of,2000–5000,1.5–2.5L,None,8+ hrs,Formal (workwear),None,Loud,Afternoon,No,No clue,None,
2025-05-03,user_026,49,9,3,1,Full-on burnout,,4.1,Yes,8000+,<1L,3+ cups,2–5 hrs,Formal (workwear),None,Loud,Morning,No,No clue,None,
2025-05-04,user_026,49,3,5,8,Full-on burnout,,2.0,No,8000+,<1L,None,<2 hrs,"Casual (jeans, tee)","EDM, Bollywood",Loud,Morning,No,No clue,None,
2025-05-05,user_026,49,2,1,2,Not at all,Productive day at work.,5.3,Kind of,8000+,1–1.5L,2 cups,2–5 hrs,Formal (workwear),None,Low (background),Morning,No,No clue,None,
2025-05-06,user_026,49,7,7,7,Drained,,4.9,Kind of,8000+,2.5L+,None,5–8 hrs,Formal (workwear),"Happy Vibey pop, Lofi",Low (background),Afternoon,No,No clue,None,
2025-05-07,user_026,49,5,6,7,Full-on burnout,Relaxed evening.,0.5,No,8000+,1.5–2.5L,2 cups,5–8 hrs,Formal (workwear),Dance music,Medium,Afternoon,No,No clue,None,Travelled for work
2025-05-08,user_026,49,4,3,6,Mild tiredness,,6.7,Yes,2000–5000,<1L,1 cup,2–5 hrs,Athletic/Activewear,Sad Pop,Loud,Morning,No,No clue,None,
2025-05-09,user_026,49,6,7,4,Drained,,7.2,Yes,8000+,1–1.5L,1 cup,5–8 hrs,"Comfy (PJs, oversized)","Lofi, Happy Vibey pop",Loud,Morning,No,No clue,None,
2025-05-10,user_026,49,9,4,7,Not at all,,9.0,No,<2000,1.5–2.5L,1 cup,<2 hrs,"Comfy (PJs, oversized)",None,Medium,Night,No,No clue,None,
2025-05-11,user_026,49,7,8,10,Full-on burnout,Productive day at work.,2.2,Yes,5000–8000,1–1.5L,2 cups,8+ hrs,"Casual (jeans, tee)",None,Loud,Morning,No,No clue,None,
2025-05-12,user_026,49,4,10,2,Not at all,,5.3,No,<2000,<1L,1 cup,8+ hrs,Formal (workwear),None,Loud,Afternoon,No,No clue,None,
2025-05-13,user_026,49,5,1,7,Not at all,,3.3,Yes,<2000,1–1.5L,3+ cups,<2 hrs,Formal (workwear),"EDM, K-pop / J-pop",Low (background),Night,No,No clue,None,
2025-05-14,user_026,49,5,5,7,Not at all,A bit tired.,4.1,No,<2000,1–1.5L,1 cup,<2 hrs,Formal (workwear),None,Low (background),Night,No,No clue,None,
2025-05-15,user_026,49,2,1,8,Mild tiredness,,6.9,Kind of,8000+,1.5–2.5L,None,8+ hrs,Formal (workwear),Dance music,Loud,Night,No,No clue,None,
2025-05-16,user_026,49,1,3,3,Full-on burnout,,4.2,No,8000+,<1L,2 cups,8+ hrs,Athletic/Activewear,None,Loud,Morning,No,No clue,None,
2025-05-17,user_026,49,9,8,8,Drained,,10.3,Kind of,5000–8000,2.5L+,1 cup,<2 hrs,Formal (workwear),None,Loud,Morning,No,No clue,None,
2025-05-18,user_026,49,10,2,9,Not at all,,11.7,No,2000–5000,1–1.5L,3+ cups,5–8 hrs,"Comfy (PJs, oversized)","K-pop / J-pop, Western classical",Medium,Afternoon,No,No clue,None,
2025-05-19,user_026,49,1,10,1,Drained,,5.2,No,<2000,1.5–2.5L,1 cup,8+ hrs,Athletic/Activewear,None,Loud,Night,No,No clue,None,
2025-05-20,user_026,49,7,3,3,Drained,,3.9,Kind of,<2000,<1L,None,2–5 hrs,"Comfy (PJs, oversized)",None,Loud,Night,No,No clue,None,
2025-05-21,user_026,49,5,1,2,Drained,,9.0,Kind of,8000+,1.5–2.5L,None,<2 hrs,Formal (workwear),"Happy Vibey pop, Western classical",Low (background),Morning,No,No clue,None,
2025-05-22,user_026,49,10,5,9,Drained,,3.5,Kind of,<2000,<1L,None,<2 hrs,Athletic/Activewear,None,Medium,Morning,No,No clue,None,
2025-05-23,user_026,49,9,8,9,Full-on burnout,Feeling well today.,10.8,Kind of,2000–5000,1.5–2.5L,3+ cups,2–5 hrs,"Comfy (PJs, oversized)",Carnatic,Medium,Afternoon,No,No clue,None,
2025-05-24,user_026,49,3,4,8,Not at all,,11.6,Yes,<2000,<1L,1 cup,5–8 hrs,Formal (workwear),Lofi,Low (background),Night,No,No clue,None,
2025-05-25,user_026,49,10,4,3,Drained,,11.5,Kind of,<2000,<1L,None,5–8 hrs,"Comfy (PJs, oversized)","Other, Happy Vibey pop",Low (background),Afternoon,No,No clue,None,
2025-05-26,user_026,49,10,2,6,Drained,A bit tired.,8.3,Yes,5000–8000,1.5–2.5L,2 cups,<2 hrs,"Comfy (PJs, oversized)","Dance music, K-pop / J-pop",Low (background),Night,No,No clue,None,
2025-05-27,user_026,49,4,7,6,Drained,,5.8,Yes,2000–5000,1–1.5L,1 cup,5–8 hrs,"Casual (jeans, tee)",None,Loud,Afternoon,No,No clue,None,
2025-05-28,user_026,49,9,8,4,Drained,,0.9,Kind of,2000–5000,1.5–2.5L,None,5–8 hrs,Formal (workwear),"Sad Pop, Rock",Medium,Night,No,No clue,None,Attended a social event
2025-05-29,user_026,49,7,4,8,Not at all,,5.5,No,8000+,1.5–2.5L,2 cups,<2 hrs,"Casual (jeans, tee)",None,Medium,Afternoon,No,No clue,None,
2025-05-30,user_026,49,4,6,8,Drained,,7.5,Yes,<2000,1.5–2.5L,2 cups,5–8 hrs,"Casual (jeans, tee)",None,Medium,Night,No,No clue,None,Started new hobby
2025-05-31,user_026,49,10,2,7,Not at all,,1.2,Kind of,8000+,1.5–2.5L,3+ cups,<2 hrs,"Comfy (PJs, oversized)",Rock,Medium,Afternoon,No,No clue,None,
2025-06-01,user_026,49,6,3,3,Drained,,1.7,Kind of,5000–8000,1.5–2.5L,2 cups,8+ hrs,"Comfy (PJs, oversized)",None,Medium,Morning,No,No clue,None,
2025-06-02,user_026,49,9,6,5,Not at all,,10.6,Yes,5000–8000,1–1.5L,1 cup,8+ hrs,Athletic/Activewear,None,Loud,Morning,No,No clue,None,
2025-06-03,user_026,49,3,10,4,Drained,,2.3,Kind of,8000+,1–1.5L,2 cups,8+ hrs,"Comfy (PJs, oversized)",None,Low (background),Afternoon,No,No clue,None,
2025-06-04,user_026,49,5,4,7,Mild tiredness,,9.4,Kind of,5000–8000,1.5–2.5L,3+ cups,5–8 hrs,"Casual (jeans, tee)",None,Low (background),Night,Yes,Menstrual,Cramps,
2025-06-05,user_026,49,6,10,8,Full-on burnout,,11.3,No,5000–8000,2.5L+,None,2–5 hrs,"Casual (jeans, tee)",None,Low (background),Afternoon,Yes,Menstrual,None,
2025-06-06,user_026,49,2,10,1,Drained,,1.4,No,5000–8000,1–1.5L,None,5–8 hrs,"Comfy (PJs, oversized)","Carnatic, Rock",Loud,Morning,Yes,Menstrual,Low energy,
2025-06-07,user_026,49,8,1,3,Not at all,,0.7,No,5000–8000,<1L,None,2–5 hrs,"Comfy (PJs, oversized)",None,Low (background),Night,Yes,Menstrual,Low energy,
2025-06-08,user_026,49,7,6,8,Drained,,4.2,Kind of,2000–5000,1–1.5L,None,5–8 hrs,"Casual (jeans, tee)",None,Medium,Afternoon,Yes,Menstrual,"Low energy, Food craving",
2025-06-09,user_026,49,8,4,4,Not at all,,9.8,No,2000–5000,<1L,3+ cups,2–5 hrs,Athletic/Activewear,None,Loud,Night,Yes,Follicular,None,
2025-06-10,user_026,49,10,9,10,Not at all,Feeling well today.,6.7,Yes,8000+,1–1.5L,1 cup,<2 hrs,"Comfy (PJs, oversized)",None,Loud,Afternoon,Yes,Follicular,None,
2025-06-11,user_026,49,8,5,6,Mild tiredness,,9.7,No,5000–8000,1–1.5L,1 cup,<2 hrs,"Casual (jeans, tee)",None,Medium,Morning,No,Follicular,None,
2025-06-12,user_026,49,1,6,10,Full-on burnout,,4.6,Yes,<2000,1–1.5L,2 cups,8+ hrs,"Casual (jeans, tee)","Rock, EDM",Loud,Morning,Not sure,Follicular,None,
2025-06-13,user_026,49,8,1,5,Not at all,A bit tired.,0.1,Kind of,<2000,1–1.5L,3+ cups,5–8 hrs,"Casual (jeans, tee)",Rock,Medium,Morning,No,Follicular,None,
2025-03-16,user_027,58,3,7,10,Not at all,,10.8,No,<2000,2.5L+,None,2–5 hrs,Athletic/Activewear,None,Low (background),Morning,No,No clue,None,
2025-03-17,user_027,58,1,1,5,Mild tiredness,,0.2,No,8000+,1–1.5L,None,<2 hrs,Formal (workwear),None,Low (background),Night,No,No clue,None,
2025-03-18,user_027,58,8,8,10,Mild tiredness,A bit tired.,0.3,No,5000–8000,2.5L+,None,8+ hrs,Formal (workwear),None,Medium,Afternoon,No,No clue,None,
2025-03-19,user_027,58,7,8,9,Drained,Relaxed evening.,8.0,Kind of,2000–5000,1–1.5L,1 cup,<2 hrs,"Casual (jeans, tee)","Sad Pop, K-pop / J-pop",Low (background),Night,No,No clue,None,
2025-03-20,user_027,58,2,7,9,Not at all,,0.7,Kind of,2000–5000,2.5L+,None,2–5 hrs,Formal (workwear),"K-pop / J-pop, Rock",Low (background),Night,No,No clue,None,
2025-03-21,user_027,58,6,9,6,Not at all,Productive day at work.,5.1,Kind of,8000+,1.5–2.5L,1 cup,<2 hrs,Athletic/Activewear,Western classical,Loud,Night,No,No clue,None,
2025-03-22,user_027,58,5,5,6,Not at all,,10.4,No,8000+,1–1.5L,None,8+ hrs,"Comfy (PJs, oversized)","Bollywood, Sad Pop",Low (background),Afternoon,No,No clue,None,
2025-03-23,user_027,58,5,8,7,Mild tiredness,Productive day at work.,0.6,Yes,8000+,1–1.5L,None,<2 hrs,Athletic/Activewear,None,Low (background),Night,No,No clue,None,
2025-03-24,user_027,58,1,9,8,Full-on burnout,Feeling well today.,2.1,Yes,2000–5000,1.5–2.5L,2 cups,<2 hrs,"Casual (jeans, tee)",None,Loud,Morning,No,No clue,None,
2025-03-25,user_027,58,7,5,4,Not at all,,7.1,Yes,8000+,<1L,None,5–8 hrs,Formal (workwear),None,Loud,Night,No,No clue,None,
2025-03-26,user_027,58,5,8,9,Not at all,,4.8,Yes,2000–5000,<1L,2 cups,2–5 hrs,Athletic/Activewear,"K-pop / J-pop, EDM",Loud,Night,No,No clue,None,
2025-03-27,user_027,58,8,6,1,Not at all,,10.6,No,<2000,1–1.5L,None,<2 hrs,Athletic/Activewear,"K-pop / J-pop, Dance music",Medium,Morning,No,No clue,None,
2025-03-28,user_027,58,9,6,4,Not at all,,2.8,Yes,<2000,1–1.5L,None,<2 hrs,Athletic/Activewear,"Western classical, Rock",Low (background),Afternoon,No,No clue,None,
2025-03-29,user_027,58,8,10,6,Not at all,A bit tired.,0.5,No,8000+,2.5L+,3+ cups,5–8 hrs,Athletic/Activewear,None,Medium,Afternoon,No,No clue,None,
2025-03-30,user_027,58,6,6,9,Mild tiredness,,4.1,Yes,2000–5000,1.5–2.5L,1 cup,5–8 hrs,"Comfy (PJs, oversized)","Happy Vibey pop, K-pop / J-pop",Loud,Afternoon,No,No clue,None,
2025-03-31,user_027,58,4,4,8,Not at all,,9.0,Yes,<2000,1.5–2.5L,1 cup,8+ hrs,Athletic/Activewear,Lofi,Loud,Afternoon,No,No clue,None,
2025-04-01,user_027,58,8,4,6,Drained,,1.1,Kind of,8000+,2.5L+,1 cup,<2 hrs,"Casual (jeans, tee)",None,Low (background),Night,No,No clue,None,
2025-04-02,user_027,58,3,7,8,Full-on burnout,,11.1,Yes,2000–5000,2.5L+,3+ cups,5–8 hrs,"Comfy (PJs, oversized)",None,Low (background),Afternoon,No,No clue,None,Started new hobby
2025-04-03,user_027,58,3,3,9,Mild tiredness,,11.4,No,2000–5000,1.5–2.5L,1 cup,8+ hrs,"Casual (jeans, tee)",Bollywood,Low (background),Afternoon,No,No clue,None,
2025-04-04,user_027,58,10,8,3,Mild tiredness,,1.1,Kind of,<2000,1.5–2.5L,2 cups,2–5 hrs,"Comfy (PJs, oversized)",None,Low (background),Afternoon,No,No clue,None,
2025-04-05,user_027,58,10,1,7,Full-on burnout,,6.8,No,2000–5000,2.5L+,2 cups,5–8 hrs,Athletic/Activewear,Happy Vibey pop,Low (background),Night,No,No clue,None,
